1160300301	CS32201	2018秋	85
1160300301	CS32202	2019春	78
1160300301	CS32211	2018秋	89
1160300301	CS32252	2018秋	67
1160300302	CS32202	2019春	87
1160300302	CS33271	2018秋	62
1160300302	CS33272	2019春	76
1160300302	CS32201	2018秋	90
1160300303	CS32211	2018秋	99
1160300303	CS32252	2018秋	87
1160300303	CS32261	2018秋	83
1160300303	CS33212	2019春	93
1160300303	CS33253	2019春	98
1160300304	CS32252	2018秋	78
1160300304	CS32261	2018秋	89
1160300304	CS33212	2019春	83
1160300304	CS33253	2019春	74
1160300304	CS33262	2019春	46
1160300305	CS32261	2018秋	84
1160300305	CS32201	2018秋	65
1160300305	CS32202	2019春	78
1160300305	CS32211	2018秋	64
1160300305	CS32252	2018秋	53
1160300306	CS33212	2019春	35
1160300307	CS33253	2019春	86
1160300308	CS33262	2019春	67
1160300309	CS33271	2018秋	83
1160300310	CS33272	2019春	28
1160300311	CS32201	2018秋	84
1160300312	CS32202	2019春	48
1160300313	CS32211	2018秋	94
1160300314	CS32252	2018秋	47
1160300315	CS32261	2018秋	90
1160300316	CS33212	2019春	46
1160300317	CS33253	2019春	87
1160300318	CS33262	2019春	34
1160300319	CS33271	2018秋	72
1160300320	CS33272	2019春	89
1160300321	CS32201	2018秋	39
1160300322	CS32202	2019春	95
1160300323	CS32211	2018秋	85
1160300324	CS32252	2018秋	95
1160300325	CS32261	2018秋	87
1160300326	CS33212	2019春	68
1160300327	CS33253	2019春	94
1160300328	CS33262	2019春	78
1160300329	CS33271	2018秋	68
1160300330	CS33272	2019春	91
