1160300301	A10001
1160300302	A10001
1160300303	A10001
1160300304	A10001
1160300305	A10001
1160300306	A10002
1160300307	A10002
1160300308	A10002
1160300309	A10002
1160300310	A10002
1160300311	A10003
1160300312	A10003
1160300313	A10003
1160300314	A10003
1160300315	A10003
1160300316	A10004
1160300317	A10004
1160300318	A10004
1160300319	A10004
1160300320	A10004
1160300321	A10005
1160300322	A10005
1160300323	A10005
1160300324	A10005
1160300325	A10005
1160300326	A10006
1160300327	A10006
1160300328	A10006
1160300329	A10006
1160300330	A10006
